時間,設備,值
2024-10-19 09:37:37,SA-59/LED_LEVEL,6
2024-10-19 09:37:53,SA-59/LED_LEVEL,8
2024-10-19 09:37:55,SA-59/LED_LEVEL,2
2024-10-19 09:37:59,SA-59/LED_LEVEL,0
2024-10-19 09:38:19,SA-59/LED_LEVEL,2
2024-10-19 09:38:21,SA-59/LED_LEVEL,0
2024-10-19 09:38:23,SA-59/LED_LEVEL,4
2024-10-19 09:38:26,SA-59/LED_LEVEL,5
2024-10-19 09:38:27,SA-59/LED_LEVEL,7
2024-10-19 09:38:29,SA-59/LED_LEVEL,8
2024-10-19 09:38:31,SA-59/LED_LEVEL,6
2024-10-19 09:39:12,SA-59/LED_LEVEL,5
2024-10-19 09:39:16,SA-59/LED_LEVEL,4
2024-10-19 09:39:16,SA-59/LED_LEVEL,7
2024-10-19 09:39:20,SA-59/LED_LEVEL,9
2024-10-19 09:39:23,SA-59/LED_LEVEL,8
2024-10-19 09:39:27,SA-59/LED_LEVEL,7
2024-10-19 09:43:40,SA-59/LED_LEVEL,9
2024-10-19 09:43:43,SA-59/LED_LEVEL,8
2024-10-19 09:43:43,SA-59/LED_LEVEL,4
2024-10-19 09:45:11,SA-59/LED_LEVEL,1
2024-10-19 09:45:11,SA-59/LED_LEVEL,2
2024-10-19 09:45:11,SA-59/LED_LEVEL,6
2024-10-19 09:56:44,SA-59/LED_LEVEL,6
2024-10-19 09:56:57,SA-59/LED_LEVEL,5
2024-10-19 09:56:58,SA-59/LED_LEVEL,4
2024-10-19 09:56:59,SA-59/LED_LEVEL,3
2024-10-19 09:57:01,SA-59/LED_LEVEL,2
2024-10-19 09:57:02,SA-59/LED_LEVEL,3
2024-10-19 09:57:03,SA-59/LED_LEVEL,2
2024-10-19 09:57:04,SA-59/LED_LEVEL,3
2024-10-19 09:57:05,SA-59/LED_LEVEL,4
2024-10-19 09:57:11,SA-59/LED_LEVEL,5
2024-10-19 09:57:13,SA-59/LED_LEVEL,3
2024-10-19 09:57:17,SA-59/LED_LEVEL,4
2024-10-19 09:57:18,SA-59/LED_LEVEL,6
2024-10-19 09:57:19,SA-59/LED_LEVEL,7
2024-10-19 09:57:22,SA-59/LED_LEVEL,6
2024-10-19 11:03:05,SA-59/LED_LEVEL,6
2024-10-19 11:03:10,SA-59/LED_LEVEL,5
2024-10-19 11:03:17,SA-59/LED_LEVEL,4
2024-10-19 11:03:19,SA-59/LED_LEVEL,6
2024-10-19 11:03:21,SA-59/LED_LEVEL,8
2024-10-19 11:03:30,SA-59/LED_LEVEL,7
2024-10-19 11:03:31,SA-59/LED_LEVEL,8
2024-10-19 11:03:44,SA-59/LED_LEVEL,7
